10011010110101111100001100 000010000010000000000010000010
01011100111010110101111000 100010000000000100000101000000
10010101000101010101001100 010010101010101001010100101010
11111111111111111111111111 111111111111111111111111111111
00000000000000000000000000 000000000000000000000000000000
11111111111111111111111111 000000000000000000000000000000
00000000000000000000000000 111111111111111111111111111111
00010101001010101010101010 101010101010101000101001111011
11111111110000000000011111 000000011111100000001111110000
10101001011000000111000010 000001011111111111111100000101
00000000000000000000011111 011001001010010010101001010101
10101010101010101010101010 010101010101010101010101010101
01010101010101010101010101 101010101010101010101010101010
1001101011010111110000110010101101010111100011010111100011010111 00001000001000000000001000001000000000000000000000000000000000000000000000000000
0101110011101011010111100011010111100011010111100011010111100011 10001000000000010000010100000000000000000000000000000000000000000000000000000000
1010101010101010101010101010101010101010101010101010101010101010 00000000000000000000000000000000000000000000000000000000000000000000000000000001
1111111111111111111111111111111111111111111111111111111111111111 11111111111111111111111111111111111111111111111111111111111111111111111111111111
1100110011001100110011001100110011001100110011001100110011001100 00000000000011110000000000000000000000000000000000000000000000000000000000000000
1111000011110000111100001111000011110000111100001111000011110000 00000000000000000000000000000011000000000000000000000000000000000000000000000000
1001100110011001100110011001100110011001100110011001100110011001 00000000000010000000000000001001000000000000000000000000000000000000000000000000
1111111100000000111111110000000011111111000000001111111100000000 11111111000000000000000000000000000000000000000000000000000000000000000000000000
0000111100001111000011110000111100001111000011110000111100001111 00000000000000000000000000000000000000000000000000000000000011110000000000000000
1010010110100101101001011010010110100101101001011010010110100101 00000000000000000000000000000000000000000000000000000000000000000000000000000011
0110100110010110100110010110100110010110100110010110100110010110 00000000000000000000000000000000000000000000000000000000000000000000000000001100
1101010101010101010101010101010101010101010101010101010101010101 00000000000000000000000000000000000000000000000000000000000000000000000000000010
